province,cultivated_areas,harvested_area,product,rain,fertilizer_price,oil_price,plant_price,year,type
ราชบุรี,330155,327493,225863,1350.2,16028.76,38.32,7.89,2556,ข้าว
สมุทรสงคราม,4177,4177,2970,0,16028.76,38.32,7.89,2556,ข้าว
เพชรบุรี,321838,316660,226393,1137.8,16028.76,38.32,7.89,2556,ข้าว
ประจวบคีรีขันธ์,45683,44164,25218,1418.5,16028.76,38.32,7.89,2556,ข้าว
ชุมพร,7013,6886,2554,1930.5,16028.76,38.32,7.89,2556,ข้าว
ระนอง,865,857,286,4091.7,16028.76,38.32,7.89,2556,ข้าว
สุราษฎร์ธานี,7391,7266,2865,1435.3,16028.76,38.32,7.89,2556,ข้าว
พังงา,1611,1532,505,0,16028.76,38.32,7.89,2556,ข้าว
ภูเก็ต,65,65,32,2598.6,16028.76,38.32,7.89,2556,ข้าว
กระบี่,5023,4908,1546,2523.5,16028.76,38.32,7.89,2556,ข้าว
ตรัง,12928,12787,4906,2242.2,16028.76,38.32,7.89,2556,ข้าว
นครศรีธรรมราช,323407,315933,145855,2840.6,16028.76,38.32,7.89,2556,ข้าว
พัทลุง,141202,136846,64065,2418.4,16028.76,38.32,7.89,2556,ข้าว
สงขลา,227821,200029,116730,2793.6,16028.76,38.32,7.89,2556,ข้าว
สตูล,30400,30306,11919,1954.8,16028.76,38.32,7.89,2556,ข้าว
ปัตตานี,94322,88837,33198,1625.8,16028.76,38.32,7.89,2556,ข้าว
ยะลา,42040,41659,14725,2655.9,16028.76,38.32,7.89,2556,ข้าว
นราธิวาส,50123,49488,18331,2995.6,16028.76,38.32,7.89,2556,ข้าว
เชียงราย,1224768,1205641,715448,1470,15922.24,38.4,7.82,2557,ข้าว
พะเยา,620113,615866,336962,1141.5,15922.24,38.4,7.82,2557,ข้าว
ลำปาง,423851,421817,224381,1145.8,15922.24,38.4,7.82,2557,ข้าว
ลำพูน,115624,115624,70840,788,15922.24,38.4,7.82,2557,ข้าว
เชียงใหม่,456116,450882,282592,1064.4,15922.24,38.4,7.82,2557,ข้าว
แม่ฮ่องสอน,165402,165141,68675,1024.9,15922.24,38.4,7.82,2557,ข้าว
ตาก,261823,258290,112100,926.7,15922.24,38.4,7.82,2557,ข้าว
กําแพงเพชร,1324544,1317629,768639,1281.1,15922.24,38.4,7.82,2557,ข้าว
สุโขทัย,1036758,1012633,577418,1212.5,15922.24,38.4,7.82,2557,ข้าว
แพร่,283736,278607,154402,1046.1,15922.24,38.4,7.82,2557,ข้าว
น่าน,221923,221410,115087,1048,15922.24,38.4,7.82,2557,ข้าว
อุตรดิตถ์,589182,585648,361239,1224.9,15922.24,38.4,7.82,2557,ข้าว
พิษณุโลก,1359936,1344194,782776,1327.1,15922.24,38.4,7.82,2557,ข้าว
พิจิตร,1645047,1629880,963196,766.6,15922.24,38.4,7.82,2557,ข้าว
นครสวรรค์,2354191,2342750,1355321,986.6,15922.24,38.4,7.82,2557,ข้าว
อุทัยธานี,549191,541471,334940,0,15922.24,38.4,7.82,2557,ข้าว
เพชรบูรณ์,1083518,1073247,592718,1139.1,15922.24,38.4,7.82,2557,ข้าว
เลย,367280,358139,134192,1078.1,15922.24,38.4,7.82,2557,ข้าว
หนองบัวลำภู,712380,695019,223804,0,15922.24,38.4,7.82,2557,ข้าว
อุดรธานี,1739591,1709518,635141,1307,15922.24,38.4,7.82,2557,ข้าว
หนองคาย,511173,501828,185852,1572.6,15922.24,38.4,7.82,2557,ข้าว
บึงกาฬ,492181,481960,138578,0,15922.24,38.4,7.82,2557,ข้าว
สกลนคร,2023550,1985761,642320,1680.1,15922.24,38.4,7.82,2557,ข้าว
นครพนม,1309861,1275270,466620,2341.3,15922.24,38.4,7.82,2557,ข้าว
มุกดาหาร,492320,484106,185859,1243.1,15922.24,38.4,7.82,2557,ข้าว
ยโสธร,1353231,1258987,465891,0,15922.24,38.4,7.82,2557,ข้าว
